texto,rotulo
"Assunto: Confirmação de Agenda: Demonstração de Produto com o Cliente Y
[Nome do Vendedor],
A demonstração do Produto Z para o Cliente Y está agendada para 15/10, às 14h, online. Duração: 60 minutos. Lembre-se de focar nos benefícios de integração.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Aviso de Manutenção Agendada
O sistema 'ERP Legacy' estará indisponível para manutenção agendada entre 01:00 e 04:00 da manhã do dia 05/11. Não é necessária nenhuma ação do usuário final.
Equipe de Infraestrutura","Não Produtivo"
"Assunto: Relatório de Gastos com Energia - Setembro
[Nome do Diretor],
O gasto com energia elétrica em setembro aumentou 8% em relação a agosto. O principal fator foi o uso intensivo de *datacenter*. Medidas de economia serão implementadas. Relatório detalhado anexo.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Atraso - 15 minutos
Sem problemas, te esperamos! Mas não demore muito!
[Nome do Remetente]","Não Produtivo"
"Assunto: Aprovação de Budget para Evento Anual
[Nome do Financeiro],
O *budget* de R$ 50.000,00 para o Evento Anual foi aprovado. Por favor, libere a primeira parcela de R$ 15.000,00 para a contratação do local.
Obrigado,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Seu e-mail foi entregue com sucesso.
Que bom! Fico feliz que o e-mail chegou.
[Nome do Remetente]","Não Produtivo"
"Assunto: Ponto de Decisão: Opção de Servidor Cloud A vs. B
Time de TI e Liderança,
Anexo, o comparativo técnico e de custos entre os provedores Cloud A e B. Precisamos de uma decisão até o final do dia para iniciar a migração. Minha recomendação é o Cloud B (custo-benefício).
[Nome do Remetente]","Produtivo"
"Assunto: Re: Re: A cor do slide
Para o João, que pediu para votarmos: Meu voto é para a cor **ROXA**! Ninguém pensou em roxo!
[Nome do Remetente]","Não Produtivo"
"Assunto: Documentação: Procedimento de *Onboarding*
Prezado RH,
Anexo, o novo procedimento de *Onboarding* de Clientes. Por favor, implemente e treine a equipe de *Customer Success* sobre as novas etapas de 1 a 7.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Fwd: Concurso Cultural - Ganhe um Carro!
[E-mail de golpe/concurso falso]","Não Produtivo"
"Assunto: Relatório de Progresso Semanal - Projeto Alpha - 28/09
[Nome do Gerente],
O Projeto Alpha está 65% concluído. O único *roadblock* é a dependência da API Externa (aguardando a equipe deles). Novo prazo estimado de conclusão: 15/11.
[Nome do Remetente]","Produtivo"
"Assunto: Re: Qual a previsão do tempo para amanhã?
Eu não confio no Google. Choveu a semana toda. Não leve.
[Nome do Remetente]","Não Produtivo"
"Assunto: Solicitação de Material de Divulgação - Mídia Social
[Nome do Marketing],
Precisamos de 5 peças de mídia social (post e *story*) para a promoção de Natal. O tema é 'Festa da Família'. As especificações de tamanho estão na planilha anexa.
Obrigado,
[Nome do Remetente]","Produtivo"
"Assunto: Notificação de Novo Comentário na Tarefa
[Nome do Usuário] adicionou um novo comentário na Tarefa #7890: 'Faltam 2 dias'.
Sistema de Tarefas","Não Produtivo"
"Assunto: Confirmação de Entrevista - [Nome do Candidato] - 05/11
[Nome do Entrevistador],
A entrevista com [Nome do Candidato] para a vaga de Desenvolvedor *Full Stack* está confirmada para 05/11, às 9h30, na sala de reuniões 2. Lembre-se de focar nas habilidades de *frontend*.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Re: Re: A cor do slide
ROXO é horrível! Parece infantil. Já chega de e-mails sobre isso!
[Nome do Remetente]","Não Produtivo"
"Assunto: Revisão de Documento Legal - Termos de Uso
[Nome do Jurídico],
Por favor, revise os 'Termos de Uso' do novo produto Beta. O foco principal é a cláusula de proteção de dados. Prazo de revisão: 48h.
Obrigado,
[Nome do Remetente]","Produtivo"
"Assunto: Lista de Aniversariantes do Mês
Parabéns aos nossos colegas que fazem aniversário neste mês! Desejamos muitas felicidades e sucesso!
[Lista de Nomes]
Comitê de Festas","Não Produtivo"
"Assunto: Plano de Ação - Redução de Custos Operacionais
[Nome do Diretor],
Anexo, o Plano de Ação para a redução de 10% nos custos operacionais no Q4. As principais ações são: [Ação A] e [Ação B]. Por favor, agende uma reunião para aprovação.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Atraso - 15 minutos
OK, sem problemas, a gente começa com a parte fácil. Depois te atualizamos.
[Nome do Remetente]","Não Produtivo"
"Assunto: Solicitação de Cópia da Nota Fiscal - Fornecedor X
[Nome do Financeiro],
Precisamos de uma cópia da Nota Fiscal (NF 1234) referente à compra de licenças de software. É urgente para a prestação de contas.
Grato,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Notificação: Expiração da Senha em 3 Dias
Eu vou anotar a nova senha em um post-it na minha tela. Assim eu não esqueço!
[Nome do Remetente]","Não Produtivo"
"Assunto: Relatório de Retenção de Clientes - Q3
[Nome do Diretor],
A retenção de clientes no Q3 foi de 88%, uma queda de 2% em relação ao Q2. Os clientes 'P' e 'Q' estão em risco. O relatório completo está anexo.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Re: Re: A cor do slide
Eu decidi: vamos usar o preto e branco. Fim da discussão.
[Nome do Remetente]","Não Produtivo"
"Assunto: Ação: Preencher Formulário de Cadastro de Fornecedor
[Nome do Fornecedor],
Para finalizar o seu cadastro em nosso sistema, por favor, preencha e retorne o formulário anexo com todos os dados da sua empresa. O prazo é 05/11.
Obrigado,
[Nome do Remetente]","Produtivo"
"Assunto: Aviso: Limpeza Externa das Janelas
A limpeza externa das janelas do prédio ocorrerá amanhã. Por favor, fechem as janelas e retirem objetos das bancadas próximas.
Administração do Prédio","Não Produtivo"
"Assunto: Confirmação de Envio - Lote de Pedidos #2025-10
[Nome do Cliente],
Confirmamos o envio do seu lote de pedidos #2025-10. O código de rastreio é [Rastreio]. A previsão de entrega é 05/11.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Fwd: Piada muito engraçada! Você vai amar!
Muito engraçada essa! Vou mandar para todos os meus contatos!
[Nome do Remetente]","Não Produtivo"
"Assunto: Reunião Adiada: Projeto Novo
Equipe,
A reunião do 'Projeto Novo' foi adiada de quarta-feira para sexta-feira, no mesmo horário (10h). Por favor, atualizem suas agendas. O *link* da reunião permanece o mesmo.
[Nome do Remetente]","Produtivo"
"Assunto: Re: Qual a previsão do tempo para amanhã?
Vai fazer um sol lindo, pode confiar em mim!
[Nome do Remetente]","Não Produtivo"
"Assunto: Aprovação de Contratação de Consultoria Externa
[Nome do Aprovador],
Solicito a aprovação da contratação da Consultoria X para o projeto de *Compliance*. O valor total é de R$ 25.000,00. Anexo, a proposta e a justificativa.
Grato,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Re: Re: A cor do slide
Eu gostei do preto e branco. É elegante.
[Nome do Remetente]","Não Produtivo"
"Assunto: Aviso de Inatividade de Sistema - Feriado
O sistema de Ponto estará inativo para manutenção de rotina durante o feriado de 07/09. Por favor, marquem o ponto de forma manual na folha de papel.
Equipe de Ponto","Produtivo"
"Assunto: Notificação de Conta Expirada
Sua conta Premium expirou. Por favor, renove seu plano para continuar acessando todos os recursos.
Sistema de Cobrança Automática","Não Produtivo"
"Assunto: Documento: Termos de Confidencialidade (NDA) para Terceiros
[Nome do Parceiro],
Anexo, o Termo de Confidencialidade (NDA). Por favor, assine e nos retorne digitalizado antes de iniciar a colaboração.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Onde tem lanches bons por perto?
Estou com fome. Alguém sabe onde posso pedir um bom lanche por perto?
Abs.","Não Produtivo"
"Assunto: Solicitação de Informação: Metodologia de Cálculo de Bônus
[Nome do RH],
Gostaria de solicitar o documento oficial que detalha a metodologia de cálculo do Bônus de Performance Anual para a área de Vendas.
Obrigado,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Onde tem lanches bons por perto?
Tem uma lanchonete de *fast-food* na esquina, é muito boa!
[Nome do Remetente]","Não Produtivo"
"Assunto: Plano de Comunicação: Lançamento do Produto Z
Equipe,
Anexo, o plano de comunicação detalhado para o lançamento do Produto Z em 10/11. As ações de Marketing e Vendas estão alinhadas. Qualquer sugestão deve ser enviada até 05/11.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Lembrete Amigável: Não Deixe a Luz Acesa
Lembre-se de apagar as luzes ao sair das salas de reunião e dos banheiros para economizar energia.
Administração do Prédio","Não Produtivo"
"Assunto: Ação Necessária: Revisão de Relatório de *Compliance*
[Nome do Revisor],
Por favor, revise o Relatório de *Compliance* de *Data Protection* (anexo). O prazo final para revisão é 01/10, às 17h. A auditoria começa na próxima semana.
Grato,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Re: O que vocês acham da série nova da Netflix?
Essa série é a melhor coisa que já vi! Você precisa maratonar!
[Nome do Remetente]","Não Produtivo"
"Assunto: Atualização de Procedimento - Backup de Dados
Time de TI,
O procedimento de *Backup* de Dados foi alterado. O novo *job* de *backup* completo será executado às 22h, e não mais às 00h. Anexo, a nova documentação.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Notificação de Falha na Entrega
O e-mail para [Endereço de E-mail Inválido] falhou na entrega. O destinatário não existe.
Servidor de E-mail","Não Produtivo"
"Assunto: Solicitação de Endereço de Entrega para Cliente F
[Nome do Vendedor],
Qual o endereço de entrega completo (com CEP e complemento) do Cliente F (ID 987)? Precisamos desta informação para enviar o *hardware* hoje.
Obrigado,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Onde tem lanches bons por perto?
O melhor é o que vende na frente do prédio! Super barato.
[Nome do Remetente]","Não Produtivo"
"Assunto: Confirmação de Reserva de Sala - Treinamento
[Nome do Treinador],
A sala 'Ático' foi reservada para o seu treinamento de Excel Avançado em 10/11, das 9h às 17h. O *datacenter* tem capacidade para 20 pessoas.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Lembrete: Devolver Livros da Biblioteca
Por favor, devolva os livros emprestados da biblioteca da empresa. O prazo de devolução é amanhã.
Comitê de Cultura","Não Produtivo"
"Assunto: Status de Pagamento - Fornecedor Gamma
[Nome do Financeiro],
O pagamento ao Fornecedor Gamma (NF 456) está pendente desde 15/09. Por favor, verifique o status e priorize o pagamento para evitar multas.
Grato,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Reunião Adiada: Projeto Novo
Entendido. Já atualizei minha agenda. Obrigado pelo aviso!
[Nome do Remetente]","Não Produtivo"
"Assunto: Documento de *Design* Final - Aplicativo Mobile
Time de Desenvolvimento,
O documento de *Design* Final do Aplicativo Mobile está disponível (anexo). Não houve grandes alterações desde o *wireframe*, apenas ajustes estéticos.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Você precisa disso para ser feliz!
[E-mail de publicidade irrelevante/spam]","Não Produtivo"
"Assunto: Pedido de Aprovação de Material de Treinamento
[Nome do Aprovador],
O material de treinamento para a 'Nova Política de RH' está pronto. Por favor, revise-o e aprove-o até 05/10. Anexo, o PDF da apresentação.
Obrigado,
[Nome do Remetente]","Produtivo"
"Assunto: Re: A cor do slide
O preto e branco é chato. Voto no roxo!
[Nome do Remetente]","Não Produtivo"
"Assunto: Relatório de *Budget* Restante - Q4
[Nome do Gerente],
O *budget* restante para o Q4 é de R$ 50.000,00. Precisamos priorizar as compras mais urgentes. Anexo, a planilha de gastos projetados.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Lista de Aniversariantes do Mês
Parabéns a todos os aniversariantes!
[Nome do Remetente]","Não Produtivo"
"Assunto: Plano de Testes de Carga - Sistema Principal
Time de QA e Infraestrutura,
O plano de testes de carga para o Sistema Principal está finalizado (anexo). Os testes ocorrerão na próxima terça-feira, a partir das 18h.
[Nome do Remetente]","Produtivo"
"Assunto: Você sabia? Curiosidade do dia!
Você sabia que a baleia-azul é o maior animal do mundo? Não perca essa e outras 50 curiosidades!
[Nome do Remetente]","Não Produtivo"
"Assunto: Ação: Enviar Relatório de *Compliance* para a Diretoria
[Nome do Revisor],
O Relatório de *Compliance* foi revisado e aprovado. Por favor, envie o documento final em PDF para a Diretoria até o final do dia.
Grato,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Aviso: Limpeza Externa das Janelas
Vou tirar minha plantinha da janela. Obrigado pelo aviso!
[Nome do Remetente]","Não Produtivo"
"Assunto: Detalhes de Reunião com Stakeholders - Projeto X
[Nome dos Stakeholders],
A reunião para discussão da Fase 2 do Projeto X será na próxima segunda, às 11h. Pauta: Alocação de recursos e risco de atraso. Por favor, confirmem presença.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Fwd: Fwd: Fwd: Quer ganhar dinheiro fácil?
[E-mail de esquema de pirâmide/golpe]","Não Produtivo"
"Assunto: Relatório de Incidentes de Segurança - Mês
Time de Segurança,
Anexo, o Relatório Mensal de Incidentes. O número de incidentes de *phishing* aumentou 10%. Precisamos de uma campanha de conscientização urgente.
[Nome do Remetente]","Produtivo"
"Assunto: Re: Onde tem lanches bons por perto?
O melhor lanche está a 30 minutos daqui. Vale a pena a viagem.
[Nome do Remetente]","Não Produtivo"
"Assunto: Aprovação: Nova Política de Uso de Inteligência Artificial
[Nome do Jurídico],
A nova 'Política de Uso de Inteligência Artificial' foi aprovada pela Diretoria. Por favor, distribua para toda a empresa e colete as assinaturas.
Obrigado,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Atraso - 15 minutos
Tranquilo! Chegando aqui, me avisa.
[Nome do Remetente]","Não Produtivo"
"Assunto: Solicitação de Dados - Projeção de Vendas 2026
[Nome do Analista],
Por favor, envie-me a planilha de 'Projeção de Vendas 2026' no formato Excel até o final do dia, para que eu possa alimentar o modelo de *budget*.
Grato,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Você ganhou um prêmio!
Recebi esse e-mail de prêmio. É real?
[Nome do Remetente]","Não Produtivo"
"Assunto: Confirmação de Compra - Softwares para o Laboratório
[Nome do Laboratório],
A compra dos 10 softwares para o Laboratório foi confirmada (OC #1051). A licença será enviada por e-mail na próxima semana.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Lista de Aniversariantes do Mês
Muito obrigado pelos parabéns! É muito gentil.
[Nome do Remetente]","Não Produtivo"
"Assunto: Reunião Cancelada: Treinamento de Soft Skills
Equipe,
O treinamento de *Soft Skills* foi cancelado devido à indisponibilidade do instrutor. Um novo convite será enviado em breve.
[Nome do Remetente]","Não Produtivo"
"Assunto: Ação: Iniciar Processo de Demissão - [Nome do Colaborador]
[Nome do RH],
Inicie o processo de demissão do colaborador [Nome do Colaborador], conforme acordado com a Diretoria. A data de desligamento é 05/11. Anexo, a documentação legal inicial.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Fwd: Notícias do time de futebol
Você viu o que aconteceu no jogo de ontem? Inacreditável!
[Nome do Remetente]","Não Produtivo"
"Assunto: Atualização de Ferramenta - Sistema de *Ticketing*
Time de Suporte,
O sistema de *ticketing* será atualizado para a versão 5.0 amanhã. O treinamento sobre as novas funcionalidades (Prioridade, SLA) ocorrerá às 14h.
[Nome do Remetente]","Produtivo"
"Assunto: Re: Qual a previsão do tempo para amanhã?
Não sei a previsão, mas espero que não chova!
[Nome do Remetente]","Não Produtivo"
"Assunto: Solicitação de Cadastro de Novo Projeto - Projeto Z
[Nome do PMO],
Por favor, cadastre o 'Projeto Z' no sistema de portfólio. O *sponsor* é [Nome do Diretor] e o *budget* inicial é de R$ 50.000,00. Anexo, o *Project Charter*.
Obrigado,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Re: Onde tem lanches bons por perto?
O lanche da frente do prédio é muito gorduroso, não recomendo. Vá no restaurante saudável.
[Nome do Remetente]","Não Produtivo"
"Assunto: Confirmação de Recebimento de *Hardware*
[Nome do TI],
Confirmamos o recebimento dos 5 novos *laptops* para a área comercial. Já iniciamos a configuração. A NF está em anexo.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Notificação: Próxima Fatura Disponível
Sua fatura de Outubro está disponível para visualização em nosso portal. O vencimento é 10/11.
Sistema de Cobrança Automática","Não Produtivo"
"Assunto: Relatório Semanal de *Bugs* Críticos
Time de Desenvolvimento,
O número de *bugs* críticos abertos é zero esta semana. Parabéns pelo trabalho! Continuem monitorando. O relatório completo está no *dashboard* [Link].
[Nome do Remetente]","Produtivo"
"Assunto: Re: Reunião Cancelada: Treinamento de Soft Skills
Que pena! Eu estava ansioso. Espero que remarquem logo.
[Nome do Remetente]","Não Produtivo"
"Assunto: Ação: Coleta de Assinaturas para o Contrato Y
[Nome do Secretariado],
Por favor, imprima e colete as assinaturas físicas do Contrato Y (anexo) com o [Diretor]. O contrato precisa ser enviado até amanhã.
Obrigado,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Fwd: Notícias do time de futebol
Nossa, que absurdo! Mas não vamos falar de futebol no trabalho.
[Nome do Remetente]","Não Produtivo"
"Assunto: Ordem de Serviço #999 - Manutenção de Impressora
[Nome da Manutenção],
A impressora da sala 301 está com atolamento de papel constante. Por favor, abra uma Ordem de Serviço #999 para manutenção imediata.
Grato,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Re: A cor do slide
O preto e branco é um ótimo meio-termo. Podemos focar no conteúdo agora?
[Nome do Remetente]","Não Produtivo"
"Assunto: Status de Projeto: Atraso de 1 Semana - Causa e Solução
[Nome do Gerente],
O Projeto Beta está atrasado em 1 semana devido a um problema de integração técnica. O plano de recuperação é alocar 2 desenvolvedores extras por 3 dias. Novo prazo de entrega: 20/11.
[Nome do Remetente]","Produtivo"
"Assunto: Notificação de Novo Login
Detectamos um novo *login* em sua conta a partir de um dispositivo não reconhecido. Se não foi você, clique aqui para bloquear: [Link].
Sistema de Segurança","Produtivo"
"Assunto: Re: Você sabia? Curiosidade do dia!
Nossa, que legal a curiosidade da baleia! O que mais você sabe?
[Nome do Remetente]","Não Produtivo"
"Assunto: Solicitação de Aprovação de Viagem de Negócios
[Nome do Aprovador],
Solicito a aprovação da viagem de negócios para Londres, de 01/12 a 05/12, para reunião com o Cliente Z. O custo total é de R$ 7.000,00. Anexo, os detalhes de voo e hotel.
Obrigado,
[Nome do Remetente]","Produtivo"
"Assunto: Fwd: Promoção do Dia!
[E-mail de publicidade aleatória]","Não Produtivo"
"Assunto: Detalhamento de Requisito Não Funcional - Performance
Time de Desenvolvimento,
O Requisito Não Funcional de *Performance* exige que o tempo de resposta da API seja de, no máximo, 500ms em 95% dos casos. Por favor, otimizem o código para atender a essa meta.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Notificação: Próxima Fatura Disponível
Eu paguei essa fatura semana passada! Por que está aparecendo como pendente?
[Nome do Remetente]","Não Produtivo"
"Assunto: Confirmação de Reserva de Voo - [Nome do Colaborador]
[Nome do Colaborador],
Sua reserva de voo para o Rio de Janeiro (01/12) foi confirmada. O bilhete eletrônico e os detalhes do hotel estão em anexo.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Reunião Cancelada: Treinamento de Soft Skills
Quem sabe a gente não se encontra para um café?
[Nome do Remetente]","Não Produtivo"
"Assunto: Pedido de Feedback sobre a Nova Interface do Sistema
[Nome do Testador],
Por favor, utilize a nova interface do Sistema X (link anexo) e nos envie um *feedback* detalhado sobre a usabilidade até 05/11.
Obrigado,
[Nome do Remetente]","Produtivo"
"Assunto: Notificação de Novo Seguidor
Você tem um novo seguidor no LinkedIn! [Nome do Seguidor] está seguindo você.
LinkedIn Notifications","Não Produtivo"
"Assunto: Resumo de Conversa - Cliente Alfa - Próximos Passos
[Nome do Gerente],
Segue o resumo da conversa com o Cliente Alfa de hoje. Próximos passos: 1. Envio da proposta formal (amanhã); 2. Agendamento de *follow-up* (próxima semana).
[Nome do Remetente]","Produtivo"
"Assunto: Re: O que vocês acham da série nova da Netflix?
Essa série é muito previsível. Não vale a pena.
[Nome do Remetente]","Não Produtivo"
"Assunto: Ação: Criação de Credenciais de Acesso - Novo Fornecedor Z
[Nome do TI],
Por favor, crie as credenciais de acesso temporário (30 dias) ao *FTP* do Projeto Gamma para o novo Fornecedor Z. O e-mail de contato está em anexo.
Grato,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Re: Re: A cor do slide
Ainda não acredito que perdemos tempo com isso. Parem de responder!
[Nome do Remetente]","Não Produtivo"
"Assunto: Relatório de Desempenho do Site - Setembro
[Nome do Marketing],
O tráfego orgânico do site aumentou 15% em Setembro. A taxa de rejeição caiu 5%. O *bounce rate* ainda está alto na página X. Anexo, o relatório completo do Analytics.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Reunião Cancelada: Treinamento de Soft Skills
Que alívio, eu estava com muita coisa para fazer. O tempo livre veio a calhar!
[Nome do Remetente]","Não Produtivo"
"Assunto: Ordem de Compra #1052 - Material de Escritório
[Nome do Compras],
Por favor, emita a Ordem de Compra #1052 para a compra de materiais de escritório (canetas, papel, clips) no valor de R$ 500,00. Centro de Custo: CC-101.
Obrigado,
[Nome do Remetente]","Produtivo"
"Assunto: Feliz Segunda-feira!
Equipe,
Que a nossa semana seja cheia de conquistas e muita paz! Vamos começar com o pé direito!
Abraços,
[Nome do Remetente]","Não Produtivo"
"Assunto: Confirmação de Início de Projeto - Projeto Novo
[Nome do Patrocinador],
O Projeto Novo foi formalmente iniciado hoje. A equipe de *Kick-off* já está alinhada. Anexo, o *Project Charter* finalizado.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Fwd: Fwd: Quer ganhar dinheiro fácil?
Isso parece muito bom para ser verdade. É golpe, não clique!
[Nome do Remetente]","Não Produtivo"
"Assunto: Relatório de *Bug* Fixado - #BUG-1234
Time de Testes,
O *bug* crítico #BUG-1234 (Checkout) foi corrigido e o *fix* está no ambiente de QA. Por favor, re-teste e confirme a correção em até 2 horas.
[Nome do Remetente]","Produtivo"
"Assunto: Alguém quer um café?
Vou fazer um café agora. Quem quer um, me avisa!
Abs.","Não Produtivo"
"Assunto: Ação: Revisão de *Roadmap* de Produto - 2026
[Nome do Líder de Produto],
Por favor, revise o *Roadmap* de Produto para 2026. A Diretoria precisa do documento final para a reunião de *Budget* de amanhã. O foco é na priorização de *features*.
Grato,
[Nome do Remetente]","Produtivo"
"Assunto: Notificação de Nova Mensagem na Rede Social
[Nome do Contato] te enviou uma mensagem direta no Twitter. Clique para ler: [Link].
Twitter Notifications","Não Produtivo"
"Assunto: Solicitação de *Upgrade* de Plano - Cliente Y
[Nome do Comercial],
O Cliente Y (ID 543) solicitou o *upgrade* do Plano Básico para o Plano Premium. Por favor, entre em contato para formalizar a transação.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Feliz Segunda-feira!
Para você também! Vamos com tudo!
[Nome do Remetente]","Não Produtivo"
"Assunto: Documentação: Manual de Contingência de *Datacenter*
Time de TI,
O Manual de Contingência de *Datacenter* foi atualizado e aprovado. As simulações de falha ocorrerão na próxima semana. Anexo, a nova versão.
[Nome do Remetente]","Produtivo"
"Assunto: Re: O que vocês acham da série nova da Netflix?
Não sei, mas o ator é lindo!
[Nome do Remetente]","Não Produtivo"
"Assunto: Confirmação de Pagamento - Reembolso
[Nome do Colaborador],
Confirmamos o depósito de R$ 3.250,00 referente ao seu reembolso de despesas (CC-789). O valor estará disponível em sua conta em 1 dia útil.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Alguém quer um café?
Eu quero! Se for forte, melhor!
[Nome do Remetente]","Não Produtivo"
"Assunto: Relatório de Tendências de Mercado - Q4
[Nome do Diretor],
O Relatório de Tendências de Mercado para o Q4 está anexo. O principal *insight* é o aumento da demanda por IA generativa. Precisamos ajustar nossa estratégia de produto.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Notificação de Novo Comentário no Documento
[Nome do Usuário] comentou no 'Documento de Estratégia Q4': 'Acho que a meta é baixa'.
Sistema de Documentos Colaborativos","Não Produtivo"
"Assunto: Ação: Agendamento de Treinamento de Vendas
[Nome do RH],
Por favor, agende o treinamento de vendas sobre 'Técnicas de Negociação' para a primeira semana de dezembro. O instrutor será o [Nome do Instrutor].
Obrigado,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Onde tem lanches bons por perto?
Tem uma padaria a 5 minutos, o pão de queijo é maravilhoso.
[Nome do Remetente]","Não Produtivo"
"Assunto: Resumo de Reunião: Alinhamento de Metas de Q4
Equipe,
Segue o resumo da reunião de alinhamento. As metas de Q4 foram revisadas. A principal mudança é a meta de *MRR* para R$ 200.000,00. Anexo, a planilha de metas.
[Nome do Remetente]","Produtivo"
"Assunto: Fwd: Fwd: Vídeo de Gatinho!
Você precisa ver esse vídeo fofo de um gatinho tocando piano!
[Nome do Remetente]","Não Produtivo"
"Assunto: Solicitação de Contato com Cliente X - Problema Crítico
[Nome do Vendedor],
O Cliente X (ID 12345) abriu um *ticket* de prioridade Crítica. Por favor, entre em contato imediatamente para entender o problema. O número do *ticket* é #CRIT-5678.
Grato,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Re: Alguém quer um café?
Eu prefiro um chá gelado, se for possível.
[Nome do Remetente]","Não Produtivo"
"Assunto: Confirmação de Inscrição - Evento de Tecnologia
[Nome do Participante],
Sua inscrição no 'Evento de Tecnologia 2025' foi confirmada. O seu crachá estará disponível para retirada a partir das 8h.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Lembrete: Votação para a Cor da Parede
Lembrete: A votação para a cor da parede da sala de descanso termina hoje. Vote no seu favorito!
Comitê de Decoração","Não Produtivo"
"Assunto: Detalhes de Integração - Módulo Financeiro
Time de Desenvolvimento,
Os detalhes de integração com o Módulo Financeiro (API, Chave de Acesso) foram atualizados no Confluence. Por favor, utilizem as novas credenciais.
[Nome do Remetente]","Produtivo"
"Assunto: Re: Notificação: Próxima Fatura Disponível
Por favor, ignore o e-mail anterior, houve um erro no sistema. Sua fatura está paga.
Sistema de Cobrança Automática","Não Produtivo"
"Assunto: Plano de Comunicação: Aviso de Feriado
Equipe,
O aviso de feriado (07/09) deve ser enviado aos clientes até amanhã, 17h. O texto padrão está na pasta 'Comunicação/Feriado'.
[Nome do Remetente]","Produtivo"
"Assunto: Re: Feliz Segunda-feira!
Eu não estou feliz, a semana está só começando!
[Nome do Remetente]","Não Produtivo"
"Assunto: Ação Necessária: Revisão de Estrutura de Pastas
Time,
A estrutura de pastas do Projeto Beta será reorganizada. Por favor, movam todos os documentos antigos para a pasta 'ARQUIVO' até o final da semana.
Obrigado,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Fwd: Vídeo de Gatinho!
Eu amei o vídeo! Que fofura!
[Nome do Remetente]","Não Produtivo"
"Assunto: Pedido de Orçamento - Campanha de Anúncios
[Nome da Agência],
Gostaria de solicitar um orçamento para uma campanha de anúncios *online* (Google Ads e Instagram) com um *budget* de R$ 10.000,00. Nosso público-alvo está em anexo.
Grato,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Reunião Cancelada: Treinamento de Soft Skills
Melhor assim, eu teria que sair mais cedo.
[Nome do Remetente]","Não Produtivo"
"Assunto: Relatório de *Follow-up* - Proposta X
[Nome do Gerente],
Fiz o *follow-up* com o Cliente X. Ele está revisando a proposta e deve dar um retorno até a próxima quarta-feira. A negociação está em 80%.
[Nome do Remetente]","Produtivo"
"Assunto: Re: O que vocês acham da série nova da Netflix?
Eu não tenho tempo para séries. Preciso ser produtivo!
[Nome do Remetente]","Não Produtivo"
"Assunto: Confirmação de Entrega - Relatório Financeiro Trimestral
[Nome do Diretor],
O Relatório Financeiro Trimestral (Q3) foi entregue e validado pela Contabilidade. Anexo, a versão final. O saldo de caixa é positivo em 15%.
Atenciosamente,
[Nome do Remetente]","Produtivo"
